"","Div","HomeTeam","AwayTeam","10.u","10.uo","odds","9.o","9.ou"
"1","F2","Bourg Peronnas","Brest",0.568231463432312,0.621919274330139,1.55436991672463,NA,NA
"2","SP2","Reus Deportiu","Zaragoza",0.583207428455353,0.589001387357712,1.55436991672463,NA,NA
"3","D1","Freiburg","FC Koln",0.552934110164642,0.626322895288467,1.55436991672463,NA,NA
"4","E0","Burnley","Brighton",0.550119757652283,0.616450577974319,1.55436991672463,NA,NA
"5","E1","Barnsley","Brentford",0.572697103023529,0.565734475851059,1.55436991672463,NA,NA
"6","E1","Burton","Bolton",0.584412038326263,0.598651170730591,1.55436991672463,NA,NA
"7","E1","QPR","Birmingham",0.584416568279266,0.587260514497757,1.55436991672463,NA,NA
"8","E1","Reading","Ipswich",0.602136313915253,0.642215877771378,1.55436991672463,NA,NA
"9","E2","Bury","Portsmouth",0.566971242427826,0.58931890130043,1.55436991672463,NA,NA
"10","F1","Monaco","Amiens",0.554418802261353,0.558979153633118,1.55436991672463,NA,NA
"11","F1","Strasbourg","Nice",0.55021470785141,0.653193354606628,1.55436991672463,NA,NA
"12","SP2","Almeria","Barcelona B",0.552642285823822,0.5658338367939,1.55436991672463,NA,NA
"13","SP2","Leonesa","Cordoba",0.555155277252197,0.586290866136551,1.55436991672463,NA,NA
"14","D1","Hoffenheim","Hannover",NA,NA,1.58074775691893,0.614591538906097,0.638990581035614
"15","D2","Bielefeld","Kaiserslautern",NA,NA,1.58074775691893,0.623914301395416,0.632496654987335
"16","F2","Chateauroux","Auxerre",NA,NA,1.58074775691893,0.610611379146576,0.612591445446014
"17","F2","Reims","Niort",NA,NA,1.58074775691893,0.628633379936218,0.633019924163818
"18","E0","Crystal Palace","Leicester",NA,NA,1.58074775691893,0.633563697338104,0.630435168743134
"19","E0","Southampton","Bournemouth",NA,NA,1.58074775691893,0.617760241031647,0.617930710315704
"20","E2","Bristol Rvs","Gillingham",NA,NA,1.58074775691893,0.615713953971863,0.625385463237762
"21","E3","Accrington","Lincoln",NA,NA,1.58074775691893,0.646850049495697,0.686017394065857
"22","E3","Newport County","Cambridge",NA,NA,1.58074775691893,0.624045491218567,0.662304282188416
"23","I2","Cesena","Frosinone",NA,NA,1.58074775691893,0.600965976715088,0.623311638832092
"24","SC0","Hibernian","Kilmarnock",NA,NA,1.58074775691893,0.616820216178894,0.635016739368439
"25","SP1","Real Madrid","Leganes",NA,NA,1.58074775691893,0.645694971084595,0.634598910808563
"26","D2","Darmstadt","Union Berlin",NA,NA,1.58074775691893,0.624280393123627,0.621098637580872
"27","D2","Dresden","Fortuna Dusseldorf",NA,NA,1.58074775691893,0.613585829734802,0.624270081520081
"28","D2","Heidenheim","Sandhausen",NA,NA,1.58074775691893,0.602830827236176,0.629589319229126
"29","D2","St Pauli","Greuther Furth",NA,NA,1.58074775691893,0.630932152271271,0.620707392692566
"30","F1","Paris SG","Guingamp",NA,NA,1.58074775691893,0.62623518705368,0.629746556282043
"31","I1","Benevento","Udinese",NA,NA,1.58074775691893,0.635703384876251,0.641699552536011
"32","SP1","La Coruna","Barcelona",NA,NA,1.58074775691893,0.603257119655609,0.606895744800568
"33","D2","Nurnberg","Braunschweig",NA,NA,1.58074775691893,0.635933816432953,0.648830771446228
"34","E0","Tottenham","Watford",NA,NA,1.58074775691893,0.619625508785248,0.626809298992157
